Date,Basketball,Agora,Assembly
16/06/21,0,0,0
17/06/21,1,1,0
18/06/21,0,0,0
19/06/21,1,1,0
20/06/21,1,1,1
21/06/21,1,0,0
22/06/21,1,1,1
23/06/21,1,1,0
24/06/21,1,1,1
25/06/21,1,0,0
26/06/21,0,0,0
27/06/21,1,1,1
28/06/21,1,1,1
29/06/21,1,1,1
30/06/21,1,1,1
01/07/21,1,1,1
02/07/21,1,1,1
03/07/21,0,0,0
04/07/21,0,0,0
05/07/21,1,1,1
06/07/21,1,1,1
07/07/21,1,1,1
08/07/21,1,1,1
09/07/21,1,1,1
10/07/21,1,1,1
11/07/21,1,1,1
12/07/21,1,1,1
13/07/21,1,1,1
14/07/21,1,1,1
15/07/21,1,1,1
16/07/21,1,1,1
17/07/21,0,0,0
18/07/21,1,1,1
19/07/21,1,1,1
20/07/21,0,0,0
20/07/21,1,0,0
