Date,Rainfall,TempMax,TempMin
16/06/21,2.4,15.4,9
17/06/21,0.2,12.9,6.9
18/06/21,3,13.9,4.4
19/06/21,2,15.1,7.6
20/06/21,0.2,15,2.6
21/06/21,0.2,15.5,2.8
22/06/21,0,16.3,1.5
23/06/21,0,15.3,4.9
24/06/21,0.8,16.9,9.7
25/06/21,1,13.2,10.2
26/06/21,7.2,12.7,9.4
27/06/21,0.2,14.9,9.7
28/06/21,0,15.3,3.1
29/06/21,0,16.4,1.5
30/06/21,0.2,17.5,2.7
01/07/21,0,17.7,7.6
02/07/21,0,15.6,8.6
03/07/21,8.8,10.6,6.4
04/07/21,0,12.5,6.4
05/07/21,2,12.7,5.4
06/07/21,0,13,6.5
07/07/21,0,12.8,5.5
08/07/21,0,12.8,1.7
09/07/21,0,11.4,0.6
10/07/21,0.2,13.5,2.2
11/07/21,0,16.7,4.5
12/07/21,0,17.6,6.4
13/07/21,2.4,15.1,8.9
14/07/21,1.8,14.2,9.6
15/07/21,2.4,17,10
16/07/21,0,14,10.7
17/07/21,0.8,13.5,7.6
18/07/21,6,13.5,8
19/07/21,0,12.8,8.7
20/07/21,2.4,11.2,9.7
21/07/21,7,12.8,6.7
